word	N::finn
kinder	2
jail	-1
robing	-2
admit	-1
insults	-2
worshiped	3
charm	3
lied	-2
cowshit	-3
restricts	-2
biased	-2
congratulate	2
gallantry	3
grants	1
insult	-2
wtf	-4
boastful	-2
progress	2
glum	-2
burdening	-2
innovates	1
infuriate	-2
emergency	-2
unimpressed	-2
pissed	-4
charmless	-3
loser	-3
curious	1
chic	2
care	2
escapes	-1
ignorant	-2
rescued	2
misery	-2
demand	-1
unhappy	-2
shared	1
scary	-2
cherished	2
homos	-3
agreed	1
persecute	-2
bummer	-1
saved	2
complacent	-2
chink	-4
bullied	-2
spark	1
shares	1
cherishes	2
insanity	-2
intimidation	-2
rejoicing	4
soothe	3
desirable	2
gallantly	3
whitewash	-3
spiritless	-2
scare	-2
battles	-1
medal	3
quaking	-2
legal	1
repulse	-1
terrorizes	-3
polluters	-2
liar	-3
worsen	-3
romance	2
revive	2
terrorized	-3
injustice	-2
joyous	3
dirty	-2
fatalities	-3
interrupted	-2
agrees	1
grateful	3
compassionate	2
accidental	-2
devastating	-2
mercy	2
disappoints	-2
harsher	-2
advantages	2
hahahah	3
tremulous	-2
nervously	-2
engrossed	1
strength	2
mourn	-2
assassinations	-3
rescues	2
myth	-1
overreaction	-2
alarm	-2
fuckers	-4
disdain	-2
ROTFLMAO	1
subversive	-2
no fun	-3
scumbag	-4
pretend	-1
clarity	2
petrified	-2
scam	-2
admits	-1
gloomy	-2
dirtiest	-2
shocking	-1
sad	-1
amazed	2
cashing in	-2
misleading	-3
jovial	2
mumpish	-2
amazes	2
poisoned	-2
significance	1
apologize	-1
inadequate	-2
sadly	-2
accepted	1
benefitted	2
fervent	2
restoring	1
endorsement	2
hooligan	-2
attracted	1
attracts	1
sewage	-2
whimsical	1
blissful	3
stalling	-2
cancelled	-1
itchy	-2
gleeful	3
matters	1
like	2
solid	2
relieve	1
protesting	-2
disadvantaged	-2
lunatics	-3
indestructible	2
propaganda	-2
libelous	-2
uncomfortable	-2
beautify	3
frustrates	-2
jubilant	3
fortunate	2
escape	-1
apathy	-3
fascist	-2
foolish	-2
tranquil	2
soothing	3
upset	-2
stimulating	2
aggressive	-2
imbecile	-3
launched	1
jerk	-3
robust	2
beauties	3
slash	-2
resolve	2
embarrassment	-2
indoctrinate	-2
drag	-1
crying	-2
antagonistic	-2
humorous	2
confidence	2
incensed	-2
chagrin	-2
gracious	3
deniers	-2
broken	-1
racists	-3
fatigues	-2
injury	-2
bloody	-3
OMG	1
indifference	-2
lowest	-1
tout	-2
bankster	-3
lethargic	-2
obstacle	-2
stabbed	-2
fatigued	-2
courage	2
maddening	-3
messing up	-2
splendid	3
dejected	-2
dodging	-2
acquit	2
cheer	2
dream	1
nasty	-3
rewarded	2
coward	-2
mucked	-2
disputing	-2
shrew	-4
frustrated	-2
squelched	-1
serene	2
virulent	-2
assassination	-3
madness	-3
afflicted	-1
calm	2
collapsing	-2
demands	-1
gross	-2
dysfunction	-2
increased	1
stifled	-1
disadvantage	-2
wow	4
woohoo	3
chilling	-1
noisy	-1
bamboozle	-2
woo	3
won	3
betrays	-3
fraudsters	-4
revengeful	-2
starved	-2
vivacious	3
vision	1
fidgety	-2
deject	-2
tense	-2
desperately	-3
indignant	-2
unacceptable	-2
struggled	-2
greatest	3
mournful	-2
inquisitive	2
fools	-2
starves	-2
amuse	3
wanker	-3
twat	-5
struggles	-2
flustered	-2
furious	-3
benefits	2
miss	-2
visions	1
enlightened	2
jeopardy	-2
freedom	2
benefit	2
threatening	-2
self-deluded	-2
colliding	-1
exonerate	2
missing	-2
aggression	-2
free	1
piqued	-2
wowow	4
relentless	-1
ranter	-3
abhors	-3
pained	-2
sorrowful	-2
collision	-2
intact	2
limits	-1
laughs	1
creative	2
apologizing	-1
death	-2
can't stand	-3
admiring	3
harmed	-2
worthless	-2
vulnerable	-2
attract	1
absentee	-1
prosecution	-1
douche	-1
blesses	2
doubted	-1
blocking	-1
fuming	-2
marvel	3
outmaneuvered	-2
cleaner	2
honouring	2
impress	3
adventures	2
sinful	-3
privileged	2
accusation	-2
fearsome	-2
derision	-2
poised	-2
funky	2
agreeable	2
horrible	-3
discarded	-1
disappointing	-2
disguised	-1
naive	-2
trouble	-2
shamed	-2
apologising	-1
lawsuit	-2
obsessed	2
cocksuckers	-5
allergic	-2
warnings	-3
disguises	-1
sucky	-3
shortage	-2
honored	2
derail	-2
sucks	-3
anxiety	-2
postponed	-1
constrained	-2
shy	-1
desired	2
blocks	-1
backing	2
exaggerating	-2
jumpy	-1
fire	-2
solving	1
arrested	-3
amazing	4
overjoyed	4
coziness	2
disoriented	-2
wealthy	2
postpones	-1
clever	2
cheaters	-3
irritating	-3
stall	-2
losing	-3
stupid	-2
confusing	-2
averted	-1
intimidate	-2
trembling	-2
brisk	2
reaching	1
apology	-1
eager	2
grave	-2
despairing	-3
disjointed	-2
oversimplification	-2
glamourous	3
flees	-1
bastard	-5
better	2
totalitarianism	-2
yucky	-2
murders	-2
irresponsible	2
odd	-2
spamming	-2
ignored	-2
carefully	2
merry	3
virtuous	2
congratulations	2
safely	1
mocking	-2
deceived	-3
annoys	-2
erroneous	-2
questioning	-1
deceives	-3
deadlock	-2
screwed	-2
funny	4
restful	2
win	4
amused	3
capable	1
deceit	-3
unsure	-1
protesters	-2
ignores	-1
heartfelt	3
bitterly	-2
rejoiced	4
provoke	-1
prblms	-2
sorrow	-2
scorn	-2
relieves	1
abused	-3
pardons	2
peril	-2
betrayed	-3
bizarre	-2
impose	-1
relieved	2
perturbed	-2
gullibility	-2
victimizing	-3
sexy	3
ecstatic	4
envying	-1
rejected	-1
embrace	1
inhibit	-1
mirthful	3
worth	2
once-in-a-lifetime	3
herpes	-2
abduction	-2
faggots	-3
gag	-2
self-confident	2
soothed	3
happiness	3
loving	2
vitality	3
abuses	-3
underestimate	-1
confident	2
mongering	-2
thwart	-2
vulnerability	-2
murderer	-2
abandon	-2
hurrah	5
novel	2
apologises	-1
sabotage	-2
irritated	-3
stabs	-2
riot	-2
horrendous	-3
protect	1
cute	1
breathtaking	5
dupe	-2
dizzy	-1
some kind	0
apologised	-1
compelled	1
happiest	1
damnit	-4
cuts	-1
skeptics	-2
pushy	-1
disregard	-2
pollute	-2
sleeplessness	-2
falsified	-3
unified	1
offending	-2
chokes	-2
astounding	3
fearless	2
healthy	2
wowww	4
choked	-2
rapist	-4
supporters	1
stunning	4
enlighten	2
snub	-2
eerie	-2
defeated	-2
swindling	-3
save	2
worsened	-3
disgrace	-2
misbehaves	-2
integrity	2
slimebag	-4
lenient	1
unconfirmed	-1
beloved	3
mediocrity	-3
sadden	-2
dipshit	-3
misbehaved	-2
torture	-4
thwarting	-2
horrific	-3
traiterous	-3
son-of-a-bitch	-5
resolving	2
disinclined	-2
bothers	-2
liked	2
doubt	-1
invincible	2
suck	-3
misgiving	-2
favorites	2
offends	-2
cynic	-2
astounds	3
combats	-1
favorited	2
pique	-2
dejecting	-2
likes	2
lifesaver	4
pretends	-1
denounces	-2
appreciate	2
accomplish	2
fiasco	-3
earnest	2
war	-2
awful	-3
risk	-2
cheery	3
drivel	-2
imperfect	-2
looms	-1
chinks	-4
poverty	-1
scoop	3
supportive	2
stupidly	-2
powerless	-2
indifferent	-2
stuck	-2
cheers	2
applauds	2
hopeless	-2
boycotts	-2
worst	-3
important	2
undermining	-2
avert	-1
growing	1
vile	-3
outreach	2
worse	-3
looses	-3
threatens	-2
mocks	-2
infatuated	2
burdens	-2
smh	-1
wrong	-2
harried	-2
worry	-3
enraged	-2
fight	-1
fulfills	2
exhilarated	3
haha	3
hopefully	2
rage	-2
wooo	4
dumbass	-3
danger	-2
enrages	-2
inspiration	2
greetings	2
elation	3
regretted	-2
opportunities	2
admonished	-2
granting	1
questioned	-1
recommends	2
cynical	-2
anti	-1
shattered	-2
honor	2
stimulated	1
cancels	-1
undermine	-2
admitted	-1
favorite	2
afraid	-2
stimulates	1
prick	-5
crime	-3
revives	2
warmth	2
complain	-2
excitement	3
torturing	-4
relishing	2
bore	-2
threats	-2
discard	-1
loathes	-3
masterpieces	4
resigning	-1
unprofessional	-2
defer	-1
smarter	2
colluding	-3
sappy	-1
happy	1
gooks	-4
ruins	-2
crisis	-3
bliss	3
drowned	-2
detention	-2
accepts	1
hail	2
exaggerates	-2
prosecute	-1
adored	3
tumor	-2
swindle	-3
breakthrough	3
woow	4
exhilarates	3
exaggerated	-2
inglorious	-2
lucky	3
worrying	-3
collisions	-2
adores	3
hopelessness	-2
stressors	-2
achievable	1
irony	-1
disparaging	-2
agree	1
loathed	-3
scold	-2
fear	-2
detain	-2
blockbuster	3
questionable	-2
envious	-2
travesty	-2
dreams	1
disruption	-2
loose	-3
amusements	3
exploration	1
affected	-1
dearly	3
commit	1
cherish	2
fallen	-2
honoured	2
foreclosure	-2
glamorous	3
slavery	-3
bribe	-3
fud	-3
charges	-2
victim	-3
dispute	-2
incapacitated	-2
poison	-2
fun	4
cunt	-5
charged	-3
worthy	2
underestimating	-1
badass	-3
charming	3
assets	2
encourage	2
anger	-3
weeping	-2
vicious	-2
passive	-1
ftw	3
censored	-2
killing	-3
devoted	3
cries	-2
dump	-1
boycotting	-2
disgust	-3
dumb	-3
refreshing	1
poorest	-2
anguished	-3
fearful	-2
severe	-2
humerous	3
outstanding	5
humiliated	-3
threatened	-2
honour	2
ominous	3
feel	-1
unintelligent	-2
jackasses	-4
consent	2
dull	-2
promise	1
punish	-2
abandons	-2
demonstration	-1
n00b	-2
misunderstanding	-2
sedition	-2
distort	-2
supporting	1
aggressions	-2
wavering	-1
beaten	-2
determined	2
rapture	2
lurk	-1
tension	-1
blind	-1
controversially	-2
disrespected	-2
costly	-2
unsatisfied	-2
waste	-1
selfish	-3
suffering	-2
accept	1
motivation	1
angry	-3
awarded	3
exultant	3
falling	-1
green washing	-3
possessive	-2
misbehave	-2
uneasy	-2
excluded	-2
fail	-2
criminal	-3
tortures	-4
devastate	-2
unstable	-2
preventing	-1
glad	3
stamina	2
exhausted	-2
wishes	1
avid	2
contempt	-2
fascinating	3
shocks	-2
guilty	-3
prevent	-1
applause	2
fair	1
hunger	-2
violate	-2
neglects	-2
criticize	-2
rejoices	4
chagrined	-2
verdicts	-1
diffident	-2
cried	-2
downhearted	-2
dreary	-2
evil	-3
wins	4
comedy	1
encouraged	2
failed	-2
ensuring	1
suicidal	-2
appreciated	2
effective	2
inconsequential	-2
mirth	3
overweight	-1
appreciates	2
celebrates	3
fake	-3
beautifully	3
want	1
crestfallen	-2
stolen	-2
steal	-2
united	1
miracle	4
responsible	2
heaven	2
restricted	-2
luckily	3
unbiased	2
suspended	-1
cares	2
distract	-2
clearly	1
hates	-3
mourns	-2
hated	-3
grant	1
wish	1
solutions	1
ruin	-2
prosecutes	-1
methodical	2
unhealthy	-2
shocked	-2
clueless	-2
fame	1
silly	-1
woeful	-3
bold	2
please	1
prosecuted	-2
died	-3
grand	3
humour	2
terrific	4
positive	2
pleased	3
murder	-2
accuse	-2
victims	-3
celebrated	3
worn	-1
acquitting	2
flu	-2
stalled	-2
restrict	-2
deafening	-1
controversial	-2
bully	-2
oks	2
gratification	2
landmark	2
winning	4
harming	-2
jokes	2
promote	1
popular	3
bomb	-1
beating	-1
encourages	2
rebellion	-2
clash	-2
warn	-2
stop	-1
screwy	-2
warm	1
untarnished	2
firing	-2
allow	1
short-sighted	-2
interests	1
unjust	-2
pretty	1
undeserving	-2
spastic	-2
fit	1
greenwasher	-3
rejecting	-1
doubts	-1
discarding	-1
dick	-4
perfect	3
fine	2
distress	-2
proactive	2
perpetrator	-2
motivating	2
mistake	-2
desire	1
tortured	-4
matter	1
rich	2
skepticism	-2
engages	1
lunatic	-3
wishing	1
apocalyptic	-2
casualty	-2
distrust	-3
disruptive	-2
condemns	-2
justifiably	2
safety	1
confuse	-2
chastised	-3
cover-up	-3
falsify	-3
misread	-1
bright	1
praised	3
indoctrinated	-2
fubar	-3
leaked	-1
sparkles	3
chastises	-3
ironic	-1
dehumanizing	-2
indoctrinates	-2
promoting	1
praises	3
verdict	-1
sympathy	2
distraction	-2
substantial	1
menaced	-2
contagious	-1
misrepresentation	-2
contentious	-2
visioning	1
recession	-2
panics	-3
calming	2
negativity	-2
homesick	-2
astonished	2
ratified	2
defenseless	-2
enthusiastic	3
vigilant	3
skeptical	-2
wealth	3
bitter	-2
sick	-1
annoying	-2
fervid	2
big	1
fondness	2
empathetic	2
mistakes	-2
innovate	1
foreclosures	-2
mistaken	-2
trickery	-2
scandal	-3
discards	-1
prospect	1
reassures	1
interested	2
rejects	-1
authority	1
inaction	-2
aghast	-2
congrats	2
coerced	-2
reassured	1
madly	-3
toothless	-2
interesting	2
bastards	-5
ensure	1
discouraged	-2
moronic	-3
emptiness	-1
mirthfully	3
disasters	-2
bitches	-5
snubs	-2
rotflol	4
boosts	1
drown	-2
conflictive	-2
crazier	-2
greenwashers	-3
swindles	-3
comfort	2
elegant	2
strikes	-1
bailout	-2
greed	-3
melancholy	-2
hesitant	-2
congratulation	2
commended	2
competent	2
noobie	-2
raptures	2
exonerates	2
cheered	2
hooligans	-2
backs	1
insensitive	-2
strengthened	2
cock	-5
kiss	2
aboard	1
astound	3
raptured	2
criticizing	-2
stampede	-2
boycotted	-2
victimize	-3
appeases	2
yearning	1
fulfill	2
mandatory	-1
scared	-2
escaping	-1
detached	-1
moaned	-2
weakness	-2
destroying	-3
immobilized	-1
refuse	-2
insulting	-2
strengthens	2
offend	-2
disorder	-2
sigh	-2
exonerated	2
felonies	-3
disillusioned	-2
hope	2
hating	-3
delights	3
slashing	-2
sentences	-2
boldly	2
granted	1
invulnerable	2
feeble	-2
unsettled	-1
overreacts	-2
cautious	-1
perfection	3
appeased	2
gallant	3
lag	-1
undermines	-2
ache	-2
funnier	4
stubborn	-2
sentenced	-2
pay	-1
timorous	-2
complains	-2
acquitted	2
insulted	-2
sincerest	2
trauma	-3
undermined	-2
messed	-2
wronged	-2
welcomed	2
inflamed	-2
rageful	-2
burdened	-2
euphoric	4
great	3
euphoria	3
relieving	2
loathing	-3
youthful	2
welcomes	2
vitamin	1
provokes	-1
bereave	-2
improves	2
lobby	-2
suffers	-2
agonized	-3
vibrant	3
phobic	-2
destroys	-3
highlight	2
haunting	1
improved	2
illiteracy	-2
awesome	4
provoked	-1
misbehaving	-2
desperate	-3
audacious	3
assault	-1
smile	2
loomed	-1
thwarted	-2
ban	-2
secured	2
calmed	2
hopes	2
bad	-3
greets	1
entrusted	2
tard	-2
flagship	2
damages	-3
shoot	-1
secures	2
agonizes	-3
jesus	1
pardon	2
playful	2
accident	-2
supporter	1
obliterate	-2
swears	-2
pileup	-1
condemnation	-2
worsens	-3
stereotyped	-2
goddamn	-3
cruel	-3
clear	1
thank	2
gained	2
lovable	3
sparkling	3
clean	2
assfucking	-4
supported	2
denier	-2
denies	-2
naïve	-2
dumped	-2
peaceful	2
beautiful	3
denied	-2
contagions	-2
yummy	3
exclude	-1
greet	1
fantastic	4
dreaded	-2
outcry	-2
contending	-1
joyless	-2
homo	-3
pseudoscience	-3
conflicting	-2
pitied	-1
stab	-2
giddy	-2
cut	-1
tits	-2
devastated	-2
fired	-2
hid	-1
survivor	2
defect	-3
fuked	-4
intense	1
pardoned	2
honest	2
motivated	2
ambivalent	-1
smear	-2
pessimism	-2
disturbing	-2
apeshit	-3
useful	2
crappy	-3
anticipation	1
hooliganism	-2
piteous	-2
loyal	3
distracts	-2
solved	1
restriction	-2
honoring	2
pleasure	3
murdering	-3
condemn	-2
depressed	-2
fainthearted	-2
notorious	-2
panic	-3
fined	-2
strong	2
solves	1
animosity	-2
profiteer	-2
bless	2
greenwashing	-3
enchanted	2
indecisive	-2
strangely	-1
undecided	-1
intricate	2
derided	-2
motivate	1
encouragement	2
disregards	-2
meaningful	2
manslaughter	-3
startled	-2
restricting	-2
misinformation	-2
ease	2
sparkle	3
livid	-2
validating	1
enthral	3
reassure	1
derides	-2
lackadaisical	-2
arrest	-2
nonsense	-2
speculative	-2
embarrasses	-2
innovation	1
visionary	3
despair	-3
applaud	2
agreement	1
embarrassed	-2
condemned	-2
droopy	-2
nosey	-2
hahaha	3
abhorred	-3
vexing	-2
hides	-1
eery	-2
genial	3
abilities	2
unmatched	1
responsive	2
enrage	-2
competitive	2
proud	2
abducted	-2
satisfied	2
heroes	2
enrapture	3
hardship	-2
glorious	2
exposing	-1
nice	3
IMHO	1
manipulating	-1
garbage	-2
validate	1
interruption	-2
approved	2
robed	-2
interest	1
adopt	1
betraying	-3
terrorize	-3
lovely	3
victimizes	-3
sunshine	2
rigorous	3
polluted	-2
crushing	-1
cheerful	2
alone	-2
cool	1
lol	3
sneaky	-1
enlightens	2
vexation	-2
adequate	1
wasting	-2
victimized	-3
inconsiderate	-2
convince	1
dirtier	-2
dickhead	-4
marvelous	3
neglected	-2
disabling	-1
optionless	-2
comforting	2
swear	-2
assaulting	-1
doubting	-1
courteous	2
critic	-2
ugly	-3
contagion	-2
exaggerate	-2
god	1
annoyance	-2
drunk	-2
whore	-4
useless	-2
right direction	3
difficult	-1
unequal	-1
interrupting	-2
conciliated	2
influential	2
haunt	-1
betrayal	-3
disparages	-2
washout	-1
substantially	1
best	3
resolves	2
discredited	-2
goodness	3
approves	2
dumps	-1
polluter	-2
litigious	-2
pollutes	-2
optimism	2
cancelling	-1
disparaged	-2
weep	-2
challenge	-1
reckless	-2
manipulated	-1
feeling	1
unaware	-2
sorry	-1
green wash	-3
OMFG	1
adore	3
harmful	-2
nerves	-1
good	1
jailed	-1
grief	-2
scandals	-3
courtesy	2
exploiting	-2
irresistible	2
crash	-2
unethical	-2
dauntless	2
meaningless	-2
willingness	2
vitriolic	-3
incompetent	-2
enlightening	2
conciliates	2
failure	-2
sweet	2
battle	-1
collides	-1
heroic	3
awards	3
unequaled	2
innovative	2
inspirational	2
crush	-1
neglecting	-2
captivated	3
corpse	-1
suspects	-1
struck	-1
repulsed	-2
sincerity	2
slashed	-2
traitor	-3
woebegone	-2
prisoners	-2
celebrating	3
screwey	-2
rigorously	3
desirous	2
inspire	2
censor	-2
shithead	-4
slashes	-2
distrustful	-3
underestimates	-1
approval	2
regret	-2
defects	-3
convivial	2
cry	-1
exploit	-2
interrupt	-2
manipulation	-1
underestimated	-1
illnesses	-2
gook	-4
walkout	-2
increase	1
weak	-2
bereaving	-2
fascinates	3
shitfaced	-4
heavenly	4
deficit	-2
ruined	-2
suspecting	-1
suing	-2
conciliate	2
cheerless	-2
fascinated	3
avoid	-1
insane	-2
jocular	2
loyalty	3
blame	-2
hugs	2
obstacles	-2
jealous	-2
greedy	-2
greenwash	-3
touting	-2
starving	-2
huge	1
heartbreaking	-3
stopped	-1
backed	1
funeral	-1
retarded	-2
jolly	2
alienation	-2
dislike	-2
loathe	-3
disqualified	-2
inviting	1
vindicating	2
secure	2
criticized	-2
recommended	2
block	-1
zealot	-2
remarkable	2
excellence	3
jewel	1
unsophisticated	-2
disguising	-1
agog	2
silencing	-1
resigned	-1
perfects	2
criticizes	-2
uncertain	-1
distracted	-2
avoids	-1
overselling	-2
awaited	-1
bankrupt	-3
chaotic	-2
excited	3
friendly	2
anguish	-3
haplessness	-2
gun	-1
prison	-2
disrespect	-2
distorts	-2
bum	-1
appeasing	2
curse	-1
improving	2
swift	2
annoyed	-2
forgetful	-2
unemployment	-2
bothered	-2
hurting	-2
alas	-1
looming	-1
frightened	-2
reassuring	2
disguise	-1
hailed	2
spammers	-3
grieved	-2
admired	3
lurks	-1
deceive	-3
effectively	2
genius	1
greeting	1
stronger	2
limitation	-1
trap	-1
stable	2
exonerating	2
disappointed	-2
sullen	-2
horrified	-3
injured	-2
overreacted	-2
fearing	-2
hiding	-1
rejoice	4
moody	-1
douchebag	-3
appalled	-2
ugh	-1
passionate	2
dont like	-2
conciliating	2
protest	-2
heartbroken	-3
ruining	-2
ashamed	-2
hilarious	2
solution	1
dehumanizes	-2
selfishness	-3
hopeful	2
immortal	2
strikers	-2
blocked	-1
cramp	-1
smog	-2
choking	-2
hurts	-2
boycott	-2
invite	1
sincerely	2
pressure	-1
touted	-2
demanding	-1
degraded	-2
interrupts	-2
lighthearted	1
poor	-2
admires	3
fumbles	-1
worsening	-3
smartest	2
embarrass	-2
gaining	2
degrades	-2
aching	-2
chances	2
belittle	-2
dehumanized	-2
missed	-2
lawl	3
solemn	-1
punitive	-2
threat	-2
arrogant	-2
scapegoats	-2
bullshit	-4
supports	2
ghost	-1
failing	-2
triumph	4
intrigues	1
stressor	-2
not working	-3
childish	-2
faking	-3
endorsed	2
boring	-3
contemptuously	-2
agonise	-3
awaits	-1
frantic	-1
isolated	-1
violating	-2
singleminded	-2
affection	3
endorses	2
fuking	-4
choke	-2
forgive	1
promised	1
betray	-3
ha	2
frauds	-4
deception	-3
entertaining	2
misunderstands	-2
struggle	-2
promises	1
obliterated	-2
resolute	2
exuberant	4
blithe	2
gift	2
superior	2
despairs	-3
genuises	2
exclusive	2
excellent	3
rewarding	2
overreact	-2
benefitting	2
spirited	2
stops	-1
degrade	-2
leave	-1
mad	-3
moans	-2
commits	1
needy	-2
disastrous	-3
jewels	1
loom	-1
treasonous	-3
prevented	-1
safe	1
violence	-3
nifty	2
debt	-2
wreck	-2
defenders	2
accepting	1
disheartened	-2
gain	2
yes	1
perjury	-3
distorting	-2
lagging	-2
murderous	-3
praying	1
gains	2
successful	3
lazy	-1
swearing	-2
distressed	-2
abductions	-2
darkest	-2
careful	2
exasperated	2
award	3
unworthy	-2
tragedy	-2
disturbed	-2
unfocused	-2
dear	2
comfortable	2
distressing	-2
committing	1
expose	-1
collide	-1
gloom	-1
cheated	-3
dead	-3
critics	-2
smiling	2
buoyant	2
forced	-1
imprisoned	-2
reward	2
superb	5
slut	-5
unsecured	-2
starve	-2
insensitivity	-2
motherfucking	-5
liars	-3
laughed	1
accuses	-2
distresses	-2
dread	-2
straight	1
funerals	-1
trusted	2
rainy	-1
criminals	-3
huckster	-2
inferior	-2
misinformed	-2
destruction	-3
recommend	2
courageous	2
accused	-2
belittled	-2
bothersome	-2
cocky	-2
laughing	1
skeptic	-2
persecuted	-2
ineffectively	-2
refusing	-2
crap	-3
averts	-1
picturesque	2
disappoint	-2
persecutes	-2
comforts	2
glory	2
overload	-1
forgiving	1
stimulate	1
hardy	2
cheater	-3
drags	-1
irate	-3
genuis	1
slickest	2
cruelty	-3
expands	1
mindless	-2
badly	-3
forget	-1
fabulous	4
growth	2
homie	1
abusive	-3
no	-1
displeased	-2
vested	1
depressing	-2
blaming	-2
ultimate	3
sympathetic	2
ardent	1
bother	-2
forgotten	-1
doom	-2
disappointments	-2
abuse	-3
barrier	-2
